id,title,genres,tropes,tone,pacing,synopsis,year,country
1,What's Wrong With Secretary Kim,Romance;Office Romance,CEO-Secretary;Workplace Romance,Light,Short,"A narcissistic CEO begins to reflect on his life when his highly capable secretary decides to resign.",2018,South Korea
2,Business Proposal,Romance;Office Romance,CEO-Employee;Contract Relationship,Light,Short,"A blind date goes wrong when an employee discovers her date is actually her company’s CEO.",2022,South Korea
3,Touch Your Heart,Romance;Office Romance,Workplace Romance,Light,Medium,"A famous actress works at a law firm to prepare for a role and develops feelings for a stoic lawyer.",2019,South Korea
4,Jugglers,Romance;Office Romance,Boss-Secretary,Light,Medium,"A cold-hearted boss and his hardworking secretary slowly develop a romantic relationship.",2017,South Korea
5,My Secret Romance,Romance;Office Romance,CEO-Employee,Light,Medium,"A chaebol heir reunites years later with the woman he had a one-night encounter with.",2017,South Korea
6,She Was Pretty,Romance;Office Romance,Childhood Connection,Balanced,Medium,"Two childhood friends reunite at work, but their lives have changed drastically.",2015,South Korea
7,Her Private Life,Romance;Office Romance,Workplace Romance,Light,Medium,"A museum curator hides her fangirl identity while falling for her new director.",2019,South Korea
8,Forecasting Love and Weather,Romance;Office Romance,Workplace Romance,Serious,Long,"Employees at a weather agency navigate complicated professional and romantic relationships.",2022,South Korea
9,The Secret Life of My Secretary,Romance;Office Romance,CEO-Secretary;Amnesia,Light,Medium,"A secretary becomes the only person a face-blind CEO can recognize.",2019,South Korea
10,Strong Woman Do Bong Soon,Romance;Comedy,CEO-Employee;Supernatural,Light,Medium,"A woman with superhuman strength is hired as a CEO’s bodyguard.",2017,South Korea
11,King the Land,Romance;Office Romance,CEO-Employee,Light,Short,"An heir to a luxury hotel empire clashes with a cheerful employee.",2023,South Korea
12,Start-Up,Romance;Drama,CEO-Startup;Ambition,Balanced,Long,"Young entrepreneurs chase success and love in South Korea’s startup scene.",2020,South Korea
13,My ID Is Gangnam Beauty,Romance;Campus,Self-Discovery,Balanced,Long,"A college student navigates life and love after undergoing plastic surgery.",2018,South Korea
14,Romance Is a Bonus Book,Romance;Office Romance,Workplace Romance,Light,Medium,"A struggling writer finds a fresh start at a publishing company.",2019,South Korea
15,Suspicious Partner,Romance;Legal,Office Romance,Balanced,Long,"A prosecutor and a trainee get entangled in both romance and crime.",2017,South Korea
16,Search WWW,Romance;Office Romance,Strong Female Lead,Serious,Long,"Women executives at major search companies balance ambition and relationships.",2019,South Korea
17,My Shy Boss,Romance;Office Romance,Opposites Attract,Light,Medium,"An extremely introverted CEO clashes with an outspoken new employee.",2017,South Korea
18,Encounter,Romance;Melodrama,CEO-Employee,Serious,Long,"A chance meeting abroad leads to a complicated romance back in Korea.",2018,South Korea
19,Because This Is My First Life,Romance;Slice of Life,Contract Marriage,Balanced,Long,"Two adults enter a contract marriage while navigating societal expectations.",2017,South Korea
20,Clean with Passion for Now,Romance;Comedy,CEO-Employee,Light,Medium,"A germaphobic CEO falls for a carefree cleaning employee.",2018,South Korea
